key,value
data:968147083305566219,"{""st"":1,""cl"":null,""ls"":[""ru""],""fc"":[""968059672584130600"",""968059701797457920"",""968059744566784010"",""968059778133790760"",""978995935805841488""]}"
data:968464421494091776,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""968467070121574442""]}"
data:968466536807419914,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
data:968467070121574442,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""968464421494091776""]}"
data:968828209196048447,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
data:969536119475675146,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1001446029067030579"",""1001585473698930810""]}"
data:969650240388993094,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:971315656135933993,"{""st"":1,""cl"":null,""ls"":[""fr""],""fc"":[]}"
data:971583943956635688,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""996927502125629500""]}"
data:971738022175440917,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
data:971785149282926622,"{""st"":1,""cl"":""ar"",""ls"":[""ar"",""en"",""sd""],""fc"":[]}"
data:972018942254125096,"{""st"":1,""cl"":""en"",""ls"":[""ms""],""fc"":[""972018942254125096""]}"
data:972243829338013746,"{""st"":1,""cl"":""en"",""ls"":[""th""],""fc"":[]}"
data:972530854616268880,"{""st"":1,""cl"":""en"",""ls"":[""th""],""fc"":[]}"
data:972827295888838676,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:972885517567926322,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:973559212221284415,"{""st"":1,""cl"":""en"",""ls"":[""pt""],""fc"":[]}"
data:974582581402140686,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:975109482889768971,"{""st"":1,""cl"":null,""ls"":[""en"",""nl""],""fc"":[]}"
data:975200688449679380,"{""st"":1,""cl"":null,""ls"":[""en"",""it""],""fc"":[]}"
data:975228941931524136,"{""st"":1,""cl"":""en"",""ls"":[""id""],""fc"":[]}"
data:975302016622551100,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:975666797913190473,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""889611735898656860""]}"
data:976946210466328577,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:976948753342795786,"{""st"":1,""cl"":""en"",""ls"":[""ru""],""fc"":[]}"
